 conc | Success% | TTFT mean  TTFT p90 | TPOT mean |  E2E mean   E2E p90 |  out_t/s |   in_t/s |  kv_mean |  prefix% |  qsize | prompt_p50 |  gen_p50
--- epp prefix-cache filter + token-load 40k ---
 61.5 |    98.9% |    15.7s     37.8s |    50.3ms |     64.6s      83.7s |  13053.4 |  92254.6 |    70.2% |   81.92% |  809.0 |       7200 |      999
--- epp default ---
 13.3 |    99.3% |     1.2s      2.0s |    31.1ms |     31.2s      36.0s |   9341.1 |  65823.3 |    38.8% |    0.00% |    0.0 |       7200 |      998
  3.2 |   100.0% |     0.2s      0.3s |    16.8ms |     16.3s      16.9s |   1656.7 |  12283.1 |     4.3% |    0.00% |    0.0 |       7200 |      998
 10.0 |   100.0% |     0.5s      1.0s |    20.9ms |     21.0s      22.1s |   5206.9 |  35834.3 |    19.4% |    0.00% |    0.0 |       7200 |      999
 14.7 |   100.0% |     0.7s      1.3s |    23.8ms |     23.7s      25.3s |   7240.9 |  49859.6 |    20.2% |    0.00% |    0.0 |       7200 |      999
 19.8 |    99.9% |     1.5s      2.7s |    33.3ms |     33.3s      37.5s |  11244.2 |  79763.4 |    41.0% |   50.51% |    0.0 |       7200 |      998
 20.9 |    97.5% |     1.9s      3.0s |    30.0ms |     30.7s      34.4s |  10791.2 |  76149.0 |    36.1% |   75.39% |    0.0 |       7200 |      998
 24.4 |   100.0% |     1.5s      2.8s |    31.8ms |     32.1s      35.3s |  12570.4 |  88885.0 |    42.5% |   85.22% |    0.0 |       7200 |      998
 29.4 |   100.0% |     2.0s      3.1s |    33.6ms |     33.9s      37.0s |  12459.9 |  88672.3 |    41.3% |   89.81% |    0.0 |       7200 |      998
 33.6 |   100.0% |     1.7s      2.8s |    33.9ms |     34.3s      37.1s |  12961.9 |  91490.4 |    45.8% |   95.09% |    0.0 |       7200 |      998
 38.5 |    99.7% |     8.1s     17.7s |    46.6ms |     53.0s      62.8s |  15732.7 | 110806.8 |    59.8% |   90.77% |    0.0 |       7200 |      999
 42.4 |    99.2% |     8.8s     19.6s |    49.3ms |     55.7s      66.5s |  15609.0 | 110738.6 |    61.0% |   91.58% |    0.0 |       7200 |      998
 46.6 |    98.4% |     9.4s     25.0s |    48.6ms |     55.9s      65.8s |  15475.0 | 110231.5 |    60.3% |   96.70% |    0.0 |       7200 |      998
 52.0 |    99.8% |     9.0s     20.7s |    49.3ms |     56.8s      66.5s |  16113.8 | 113249.9 |    58.5% |   96.29% |    0.0 |       7200 |      998
 50.3 |    99.6% |     9.1s     20.8s |    53.0ms |     57.3s      68.2s |  16118.9 | 113816.9 |    56.0% |   96.13% |    0.0 |       7200 |      998
 54.0 |    99.9% |    10.0s     21.7s |    53.7ms |     59.7s      70.1s |  16154.2 | 114605.3 |    57.8% |   97.78% |   56.0 |       7200 |      998
 57.8 |   100.0% |    10.2s     21.6s |    52.7ms |     60.6s      69.6s |  16351.8 | 115726.1 |    59.9% |   97.30% |   56.0 |       7200 |      998
 57.8 |    99.9% |    10.6s     21.3s |    54.5ms |     62.8s      72.3s |  16556.6 | 116926.2 |    59.6% |   97.42% |  125.0 |       7200 |      998
  57.8 |    99.9% |    10.6s     21.3s |    54.5ms |     62.8s      72.3s |  16556.6 | 116926.2 |    59.6% |   97.42% |  125.0 |       7200 |      998
--- latency-predictor ---
 14.8 |    97.2% |     4.1s     14.6s |    40.7ms |     42.6s      45.6s |   7860.2 |  54766.8 |    49.9% |    0.00% |    0.0 |       7200 |      998
  2.7 |   100.0% |     0.3s      0.5s |    17.3ms |     16.6s      17.6s |   1699.7 |  11353.5 |     7.0% |    0.00% |    0.0 |       7200 |      998
  8.7 |   100.0% |     0.7s      1.2s |    23.6ms |     23.4s      26.8s |   4558.0 |  30636.9 |    14.4% |    0.00% |    0.0 |       7200 |      998
 15.0 |   100.0% |     0.7s      1.3s |    27.4ms |     27.4s      29.8s |   6619.5 |  45497.8 |    21.3% |    0.00% |    0.0 |       7200 |      999
 18.2 |    99.6% |     8.5s     26.0s |    38.2ms |     45.3s      56.3s |   8418.3 |  58286.6 |    65.2% |   11.36% |   67.0 |       7200 |      998
 21.1 |   100.0% |    12.2s     30.4s |    41.7ms |     51.6s      63.8s |   7782.2 |  54763.0 |    73.8% |    6.63% |   16.0 |       7200 |      998
 24.3 |   100.0% |    13.1s     32.7s |    42.3ms |     53.7s      67.2s |   8000.3 |  55595.4 |    62.3% |   64.11% |    0.0 |       7200 |      999
 31.9 |   100.0% |    16.3s     39.0s |    43.4ms |     58.2s      76.7s |   7379.9 |  51174.1 |    53.8% |   73.02% |    0.0 |       7200 |      999
 34.0 |   100.0% |    17.7s     40.0s |    44.0ms |     59.4s      77.3s |   6763.9 |  47305.2 |    67.3% |   12.02% |  226.0 |       7200 |      998
 40.2 |   100.0% |    57.3s    111.5s |    45.0ms |    100.5s     150.0s |   7832.5 |  54349.5 |    74.5% |   12.11% |  365.0 |       7200 |      999
 43.0 |   100.0% |    59.2s    113.2s |    44.7ms |    101.8s     151.9s |   7767.8 |  53977.1 |    78.7% |   13.87% |  354.0 |       7200 |      998
 44.9 |   100.0% |    58.3s    115.3s |    44.7ms |    101.4s     154.8s |   7662.2 |  53105.2 |    76.2% |   11.23% | 1109.0 |       7200 |      998
 49.8 |   100.0% |    58.8s    119.9s |    44.7ms |    101.7s     159.9s |   6198.0 |  43129.4 |    60.4% |    7.65% | 1174.0 |       7200 |      998
 52.4 |   100.0% |    59.1s    117.3s |    44.4ms |    101.6s     155.7s |   7682.0 |  53320.4 |    73.9% |   11.96% | 1154.0 |       7200 |      998
 57.0 |   100.0% |    58.9s    119.3s |    44.9ms |    101.5s     157.4s |   7551.3 |  52930.0 |    76.0% |   12.80% | 1108.0 |       7200 |      998
 55.5 |   100.0% |    59.2s    120.3s |    44.5ms |    101.8s     155.7s |   7538.3 |  52611.6 |    67.2% |    8.52% | 1091.0 |       7200 |      998
 59.9 |   100.0% |    62.2s    121.9s |    44.5ms |    105.0s     159.5s |   7661.3 |  53012.1 |    77.5% |   10.30% | 1150.0 |       7200 |      998
